,value,metric,type
0,0.3505777748845376,ade,best_of
1,0.45305967594384294,ade,best_of
2,0.5963696479187597,ade,best_of
3,1.2482792733763148,ade,best_of
4,0.4284030954916911,ade,best_of
5,0.1587641818939264,ade,best_of
6,0.27543392766945474,ade,best_of
7,0.08516438526860272,ade,best_of
8,0.011969362844270503,ade,best_of
9,0.17062535723251518,ade,best_of
10,0.07719209025116142,ade,best_of
11,0.010129383731678888,ade,best_of
12,0.20283044709424172,ade,best_of
13,0.08132058236522283,ade,best_of
14,0.010500634264732899,ade,best_of
15,0.1987439059643816,ade,best_of
16,0.11973180072403522,ade,best_of
17,0.01288191937160263,ade,best_of
18,0.2227657053428189,ade,best_of
19,0.11613091060281795,ade,best_of
20,0.01743030641308771,ade,best_of
21,0.23854860963926058,ade,best_of
22,0.2066112335166508,ade,best_of
23,0.021867509187854683,ade,best_of
24,0.26048517974715796,ade,best_of
25,0.1531409122767368,ade,best_of
26,0.02418722186489913,ade,best_of
27,0.23204540757004866,ade,best_of
28,0.10670274260042963,ade,best_of
29,0.026001988125137074,ade,best_of
30,0.28917521265363566,ade,best_of
31,0.1406902567963278,ade,best_of
32,0.028595945207609996,ade,best_of
33,0.5161598771895751,ade,best_of
34,0.1752027245739708,ade,best_of
35,0.031800877410507744,ade,best_of
36,0.6361924982013968,ade,best_of
37,0.1668360525329232,ade,best_of
38,0.035678070603005804,ade,best_of
39,0.19046387491209985,ade,best_of
40,0.15066306981837216,ade,best_of
41,0.040137732560930624,ade,best_of
42,0.26731903875412266,ade,best_of
43,0.13228874505886054,ade,best_of
44,0.04203767153048175,ade,best_of
45,0.21728306456085614,ade,best_of
46,0.035075177738068224,ade,best_of
47,0.5563315006515074,ade,best_of
48,0.024409140181322574,ade,best_of
49,0.3015636122410366,ade,best_of
50,0.01535465776005837,ade,best_of
51,0.2565372696298365,ade,best_of
52,0.016887674965933883,ade,best_of
53,0.34762298566256705,ade,best_of
54,0.026981147881353012,ade,best_of
55,0.4632244529518145,ade,best_of
56,0.03433433791306767,ade,best_of
57,0.09390435576627983,ade,best_of
58,0.029670521495789123,ade,best_of
59,0.09382543819046411,ade,best_of
60,0.42602443199862855,ade,best_of
61,0.20224645733936086,ade,best_of
62,0.1441234345822688,ade,best_of
63,1.1272076443999672,ade,best_of
64,0.414320075875838,ade,best_of
65,0.3082438027006769,ade,best_of
66,0.482906009374817,ade,best_of
67,0.3570977507166495,ade,best_of
68,0.8401297641048933,ade,best_of
69,0.602543960075859,ade,best_of
70,0.5185634931312147,ade,best_of
71,0.5665455023254848,ade,best_of
72,0.5053588173046254,ade,best_of
73,0.22245054196352873,ade,best_of
74,0.29490440315199923,ade,best_of
75,0.3203572790132084,ade,best_of
76,0.36248647451670024,ade,best_of
77,0.2987979104879827,ade,best_of
78,0.4864432009306639,ade,best_of
79,0.1804562449593137,ade,best_of
80,0.21215867670577326,ade,best_of
81,0.27238168602112023,ade,best_of
82,0.34831761439388115,ade,best_of
83,0.16437445743211546,ade,best_of
84,0.09393397696365334,ade,best_of
85,0.10036132369036636,ade,best_of
86,0.1846845863909271,ade,best_of
87,0.11022922282830523,ade,best_of
88,0.18995897603671938,ade,best_of
89,0.16727879138261303,ade,best_of
90,0.22222231053887534,ade,best_of
91,0.43628798445171707,ade,best_of
92,0.25952982171367045,ade,best_of
93,0.531807947372345,ade,best_of
94,0.4267458675656708,ade,best_of
95,0.7554479952125992,ade,best_of
96,1.1528610200920575,ade,best_of
97,0.2440071701111257,ade,best_of
98,0.38478446118800397,ade,best_of
99,1.5262972575759903,ade,best_of
100,0.2952174467161995,ade,best_of
101,0.10363562228627927,ade,best_of
102,0.06883483757803381,ade,best_of
103,0.4169144667792824,ade,best_of
