,value,metric,type
0,1.9822874223325215,ade,best_of
1,2.0594929141263414,ade,best_of
2,1.8386037441282284,ade,best_of
3,1.986437674241765,ade,best_of
4,1.909565844780136,ade,best_of
5,2.2705174443875458,ade,best_of
6,2.717137068778166,ade,best_of
7,0.32435284610955345,ade,best_of
8,0.402062291098881,ade,best_of
9,0.5237441847064734,ade,best_of
10,0.5031686550240606,ade,best_of
11,0.14828932139061932,ade,best_of
12,0.3108755847667835,ade,best_of
13,0.3067938820941312,ade,best_of
14,0.1496878582097301,ade,best_of
15,0.5881190322278516,ade,best_of
16,0.5713635434726347,ade,best_of
17,0.15216904217367325,ade,best_of
18,0.28395688444225775,ade,best_of
19,0.3523636217933774,ade,best_of
20,0.15378168775921416,ade,best_of
21,0.2715488985398505,ade,best_of
22,0.5095593447793053,ade,best_of
23,0.1553943333447551,ade,best_of
24,0.2599052082170631,ade,best_of
25,0.5113674783910879,ade,best_of
26,0.16372959836495693,ade,best_of
27,0.6516267028753259,ade,best_of
28,0.4363857126718898,ade,best_of
29,0.1665022344611913,ade,best_of
30,0.4546698827840086,ade,best_of
31,0.5255049227963606,ade,best_of
32,0.15535336707233635,ade,best_of
33,0.8638359424342782,ade,best_of
34,0.5557781020349789,ade,best_of
35,0.15904303397908282,ade,best_of
36,0.6385239471409422,ade,best_of
37,0.40548059024504246,ade,best_of
38,0.172538076932965,ade,best_of
39,0.9599493256492931,ade,best_of
40,0.590610330727151,ade,best_of
41,0.1883344951401018,ade,best_of
42,0.8351460239455563,ade,best_of
43,0.20859768293628092,ade,best_of
44,0.2552491152345357,ade,best_of
45,0.3503891886704773,ade,best_of
46,0.46309965925581026,ade,best_of
47,0.8663518071538369,ade,best_of
48,0.5024972559432558,ade,best_of
49,0.7385053627217676,ade,best_of
50,0.41207993621268546,ade,best_of
51,0.72834611341889,ade,best_of
52,0.23586045317034834,ade,best_of
53,0.8692438639403525,ade,best_of
54,0.13748360992050682,ade,best_of
55,0.9238882775824119,ade,best_of
56,0.182723142470119,ade,best_of
57,0.38470610810648104,ade,best_of
58,0.14544958067649524,ade,best_of
59,0.7530029169774322,ade,best_of
60,2.587705505770158,ade,best_of
61,2.700420749563305,ade,best_of
62,2.7005174172315347,ade,best_of
63,0.857258835671288,ade,best_of
64,0.5808366075385555,ade,best_of
65,0.5404999858679761,ade,best_of
66,0.7378970977892321,ade,best_of
67,0.47931784578515124,ade,best_of
68,0.7057638870670524,ade,best_of
69,0.6573719996344494,ade,best_of
70,0.4627643237424006,ade,best_of
71,0.6861385671270951,ade,best_of
72,1.0358420209991195,ade,best_of
73,0.6941559959898148,ade,best_of
74,0.6373938955656065,ade,best_of
75,0.7070925680863795,ade,best_of
76,0.8780432989720027,ade,best_of
77,1.2444579309702788,ade,best_of
78,0.8559130815839171,ade,best_of
79,1.03396514247061,ade,best_of
80,0.5882274569167815,ade,best_of
81,0.4885159300150628,ade,best_of
82,0.4610371577099101,ade,best_of
83,0.5068395424379065,ade,best_of
84,0.9475365121210614,ade,best_of
85,1.0696171555205787,ade,best_of
86,0.49801156015373405,ade,best_of
87,0.31934568474741915,ade,best_of
88,0.46513246820315096,ade,best_of
89,0.42124902418268406,ade,best_of
90,1.0734973965671897,ade,best_of
91,0.5032072804826887,ade,best_of
92,0.6377193417835886,ade,best_of
93,0.8471916716540392,ade,best_of
94,0.876062290590878,ade,best_of
95,1.0855310350840475,ade,best_of
96,1.1723651193165092,ade,best_of
97,1.303677105444945,ade,best_of
98,1.3074606691026645,ade,best_of
99,1.3042872299819137,ade,best_of
100,1.2920486256355896,ade,best_of
101,1.5070375870271786,ade,best_of
102,1.2398550379886166,ade,best_of
103,1.305974431797873,ade,best_of
104,1.3125197670340951,ade,best_of
105,1.2596494238580949,ade,best_of
106,1.3150428220977368,ade,best_of
107,1.4263533239097839,ade,best_of
108,1.3543495346735621,ade,best_of
109,1.3100468692760916,ade,best_of
110,1.2997182072198736,ade,best_of
111,1.2502850206987717,ade,best_of
112,1.2155948388128397,ade,best_of
113,1.1658228493549971,ade,best_of
114,1.145426845975998,ade,best_of
115,1.0980595969499307,ade,best_of
116,1.0465110270682265,ade,best_of
117,0.9183646699642524,ade,best_of
118,0.7672893008925467,ade,best_of
119,0.5774606408963688,ade,best_of
120,0.5579697215569557,ade,best_of
121,0.7261406268911067,ade,best_of
122,0.2887337785887046,ade,best_of
123,0.331394908833697,ade,best_of
124,0.6294380211312031,ade,best_of
125,0.6800067277297609,ade,best_of
126,0.6463669441129626,ade,best_of
127,0.9252951180683446,ade,best_of
128,0.9449543449406862,ade,best_of
129,1.1845824685642072,ade,best_of
130,1.2703874638326484,ade,best_of
131,1.2124636344619486,ade,best_of
132,1.3013985642943566,ade,best_of
133,1.2868019554017742,ade,best_of
134,1.3364885951135237,ade,best_of
135,1.3565361224272063,ade,best_of
136,1.4094511857327028,ade,best_of
137,1.379147118925264,ade,best_of
138,1.4016397185060976,ade,best_of
139,1.3428548195415244,ade,best_of
140,1.3412095937925888,ade,best_of
141,3.5208743551418125,ade,best_of
142,1.3822837212797843,ade,best_of
143,3.1644223640426206,ade,best_of
144,2.924727104408316,ade,best_of
145,1.2969282640360118,ade,best_of
146,3.190423414350349,ade,best_of
147,2.917055039909997,ade,best_of
148,3.478862148923978,ade,best_of
149,1.2943574092792558,ade,best_of
150,3.043232545138124,ade,best_of
151,3.0027863178090297,ade,best_of
152,1.2609474866732768,ade,best_of
153,1.2910312280364225,ade,best_of
154,1.158476203899905,ade,best_of
155,1.0668679774571876,ade,best_of
156,0.9991151715004439,ade,best_of
157,0.8888789579473032,ade,best_of
158,0.922215000907515,ade,best_of
159,0.7165494750559703,ade,best_of
160,0.7416983367726971,ade,best_of
161,0.7867471129358505,ade,best_of
162,0.5212621159057093,ade,best_of
163,0.4623652064854526,ade,best_of
164,0.5167614237735372,ade,best_of
165,0.5226778107754103,ade,best_of
166,0.47324912935820596,ade,best_of
167,0.3376033386085364,ade,best_of
168,0.5037073162084669,ade,best_of
169,0.5042651793523167,ade,best_of
170,0.5380659224697798,ade,best_of
171,0.6511655973471524,ade,best_of
172,0.5709891040343666,ade,best_of
173,0.8000982703328706,ade,best_of
174,0.9032885066269145,ade,best_of
175,0.4357406323076871,ade,best_of
176,0.4853737989620606,ade,best_of
177,0.6420171658107788,ade,best_of
178,0.5653386008016198,ade,best_of
179,1.1867667655168956,ade,best_of
180,0.5720904503394394,ade,best_of
181,0.5675407849689333,ade,best_of
182,0.21055141598155444,ade,best_of
183,0.40023319286747633,ade,best_of
184,0.2168674154186411,ade,best_of
185,0.4969408374264575,ade,best_of
186,0.7814929152323254,ade,best_of
187,0.5827250861125525,ade,best_of
188,0.5503493629487562,ade,best_of
189,0.6035914958216818,ade,best_of
190,0.7314656250017447,ade,best_of
191,0.7602670043542373,ade,best_of
192,0.773772773261629,ade,best_of
193,0.687821006892917,ade,best_of
194,0.3654623818072331,ade,best_of
195,0.3527794604932391,ade,best_of
196,0.7313711120838136,ade,best_of
197,0.4084034946483304,ade,best_of
198,0.2539022836905555,ade,best_of
199,0.6115312110352501,ade,best_of
200,0.5214357251514634,ade,best_of
201,0.4696216344233061,ade,best_of
202,0.6534054926508673,ade,best_of
