,value,metric,type
0,4.696623815746769,kde,best_of
1,4.452227830885494,kde,best_of
2,4.277839892192703,kde,best_of
3,5.261190356942518,kde,best_of
4,4.403084668279538,kde,best_of
5,5.2575859619370915,kde,best_of
6,7.332164674069172,kde,best_of
7,3.640776491457254,kde,best_of
8,3.6793098423039825,kde,best_of
9,3.7733958342886282,kde,best_of
10,3.7187720205557016,kde,best_of
11,3.736859054421771,kde,best_of
12,3.9402747531369258,kde,best_of
13,3.7421363477487617,kde,best_of
14,3.7369736711986827,kde,best_of
15,3.949113112734094,kde,best_of
16,3.7189213484520653,kde,best_of
17,3.737246348341092,kde,best_of
18,3.9552283082049735,kde,best_of
19,3.660195410972268,kde,best_of
20,3.737643535493106,kde,best_of
21,3.962230411407726,kde,best_of
22,3.7299519512706043,kde,best_of
23,3.738040722612598,kde,best_of
24,3.9686269126677987,kde,best_of
25,3.757355669731993,kde,best_of
26,3.738883121007944,kde,best_of
27,3.904400226261672,kde,best_of
28,3.675457102695881,kde,best_of
29,3.7398528251219783,kde,best_of
30,3.8782993054922925,kde,best_of
31,3.6514233227406585,kde,best_of
32,3.740809514613155,kde,best_of
33,4.035833884023663,kde,best_of
34,3.664625926775594,kde,best_of
35,3.7420147714882592,kde,best_of
36,4.364364803169555,kde,best_of
37,3.728090541554749,kde,best_of
38,3.7394365599393518,kde,best_of
39,4.150207138972383,kde,best_of
40,3.6954587321911205,kde,best_of
41,3.728494238942614,kde,best_of
42,3.997052127977979,kde,best_of
43,3.7200233791060366,kde,best_of
44,3.7079538638658067,kde,best_of
45,4.028625024438339,kde,best_of
46,3.6941724459439276,kde,best_of
47,3.984860527668807,kde,best_of
48,3.712045179594423,kde,best_of
49,4.362717849149599,kde,best_of
50,3.738543630429368,kde,best_of
51,4.326921008162222,kde,best_of
52,3.7379307672888613,kde,best_of
53,4.35887132426702,kde,best_of
54,3.7212417252700054,kde,best_of
55,4.302299169184384,kde,best_of
56,3.7013588420366728,kde,best_of
57,3.945049039719606,kde,best_of
