,value,metric,type
0,0.48979046140632604,ade,best_of
1,0.3846147529773014,ade,best_of
2,0.5091590635310039,ade,best_of
3,1.2807086051837238,ade,best_of
4,0.3315347393163631,ade,best_of
5,0.149302953693478,ade,best_of
6,0.20018825718663913,ade,best_of
7,0.07948030245218372,ade,best_of
8,0.006991820656105004,ade,best_of
9,0.20076595689030416,ade,best_of
10,0.07327469065452637,ade,best_of
11,0.003729886348390892,ade,best_of
12,0.22399061077775795,ade,best_of
13,0.09017311394831029,ade,best_of
14,0.007556763957416433,ade,best_of
15,0.1587885922818493,ade,best_of
16,0.1129414269118631,ade,best_of
17,0.012712520835080987,ade,best_of
18,0.22661561055330157,ade,best_of
19,0.14272837888466774,ade,best_of
20,0.016964719636421526,ade,best_of
21,0.3329548924797694,ade,best_of
22,0.18532071375930692,ade,best_of
23,0.013903789919440199,ade,best_of
24,0.29989555486414604,ade,best_of
25,0.09433984070643152,ade,best_of
26,0.022595787733906816,ade,best_of
27,0.18514218609448965,ade,best_of
28,0.1249997906775674,ade,best_of
29,0.019588930020089414,ade,best_of
30,0.2533077501635929,ade,best_of
31,0.1536232457265351,ade,best_of
32,0.030929145311067135,ade,best_of
33,0.2579505511157127,ade,best_of
34,0.22097880315968388,ade,best_of
35,0.031160080646692494,ade,best_of
36,0.5315826992826106,ade,best_of
37,0.21506043413565135,ade,best_of
38,0.033987088356039634,ade,best_of
39,0.28194627656310217,ade,best_of
40,0.18430682540262977,ade,best_of
41,0.026785979234421466,ade,best_of
42,0.488926587224215,ade,best_of
43,0.0852787289280002,ade,best_of
44,0.030118840927208654,ade,best_of
45,0.28693724398012865,ade,best_of
46,0.02860425827688799,ade,best_of
47,0.38626101171592325,ade,best_of
48,0.029445356803097306,ade,best_of
49,0.21027055961356902,ade,best_of
50,0.02682781913757971,ade,best_of
51,0.28980545303754884,ade,best_of
52,0.018778045221765495,ade,best_of
53,0.8029754176098902,ade,best_of
54,0.029630064519435173,ade,best_of
55,1.5332326522507354,ade,best_of
56,0.03046901039243355,ade,best_of
57,0.13380401378434179,ade,best_of
58,0.04004063537372176,ade,best_of
59,0.1172221761352853,ade,best_of
60,0.7136238611720124,ade,best_of
61,0.2633391476556351,ade,best_of
62,0.3341249841417413,ade,best_of
63,2.1813456715378385,ade,best_of
64,0.3753599116585024,ade,best_of
65,0.31341245967097947,ade,best_of
66,0.3196816000414609,ade,best_of
67,0.5069709841353806,ade,best_of
68,0.5084400955823686,ade,best_of
69,0.6161144347460676,ade,best_of
70,0.41602601245549437,ade,best_of
71,1.0454522842685305,ade,best_of
72,0.3591665870409622,ade,best_of
73,0.26819218174499826,ade,best_of
74,0.4806314339828324,ade,best_of
75,0.5214258996575665,ade,best_of
76,0.7750036061390002,ade,best_of
77,0.7793012398586537,ade,best_of
78,0.952374267262503,ade,best_of
79,0.4666497066883315,ade,best_of
80,0.22141289486118956,ade,best_of
81,0.36735231975653254,ade,best_of
82,0.944934514302573,ade,best_of
83,0.40239267084283165,ade,best_of
84,0.17356030187737603,ade,best_of
85,0.08586969368975711,ade,best_of
86,0.13015568732538388,ade,best_of
87,0.08500942269290368,ade,best_of
88,0.17025813542081844,ade,best_of
89,0.17498611501655562,ade,best_of
90,0.25953571367722567,ade,best_of
91,0.4301759111762553,ade,best_of
92,0.3268158373368021,ade,best_of
93,0.3509834567407586,ade,best_of
94,0.8647430001469076,ade,best_of
95,0.8358782709582249,ade,best_of
96,0.6012319264797833,ade,best_of
97,0.33065573507166474,ade,best_of
98,0.7784998082422935,ade,best_of
99,1.3611280709748377,ade,best_of
100,0.22608635849313208,ade,best_of
101,0.23283321941519677,ade,best_of
102,0.16937369417121903,ade,best_of
103,0.3676917285627948,ade,best_of
104,0.3766964389854374,ade,best_of
105,0.2997106883977912,ade,best_of
106,0.14567923481987757,ade,best_of
107,0.24287250896120824,ade,best_of
108,0.1859378051210694,ade,best_of
109,0.10152113409287443,ade,best_of
110,0.28606617943592355,ade,best_of
111,0.2435617984972518,ade,best_of
112,0.13092683925508303,ade,best_of
113,0.1892573097273489,ade,best_of
114,0.2954649953544339,ade,best_of
115,0.2683833436506504,ade,best_of
116,0.5382287097304953,ade,best_of
117,0.29890131857501484,ade,best_of
118,0.4012974818978737,ade,best_of
119,1.2984665562183217,ade,best_of
120,0.7773545020340457,ade,best_of
121,0.6941630188662545,ade,best_of
122,0.5436185818630609,ade,best_of
123,0.4963645461700892,ade,best_of
124,0.5154460257544186,ade,best_of
125,0.8405255269235586,ade,best_of
126,0.5362419270197135,ade,best_of
