,value,metric,type
0,0.7730445640054177,ade,ml
1,0.5266845681342244,ade,ml
2,0.7360841948428553,ade,ml
3,2.073063519172541,ade,ml
4,0.8977317288445638,ade,ml
5,0.17885816276131164,ade,ml
6,0.10533776688158324,ade,ml
7,0.22670955142689286,ade,ml
8,0.006538523929464651,ade,ml
9,0.20498229417203784,ade,ml
10,0.07307453545354499,ade,ml
11,0.005564309241401229,ade,ml
12,0.2430813046903919,ade,ml
13,0.08943278284756824,ade,ml
14,0.0072068407474820085,ade,ml
15,0.2796319412952751,ade,ml
16,0.11319551236456227,ade,ml
17,0.010537255298709483,ade,ml
18,0.3185406101120325,ade,ml
19,0.23957136511682942,ade,ml
20,0.014801297574679441,ade,ml
21,0.35366923465990124,ade,ml
22,0.5400648032358649,ade,ml
23,0.01910290674314132,ade,ml
24,0.3856111173934465,ade,ml
25,0.37966854964155555,ade,ml
26,0.02574017683397313,ade,ml
27,0.3986580810394564,ade,ml
28,0.2268185999763562,ade,ml
29,0.02877115245934558,ade,ml
30,0.9387821399391694,ade,ml
31,0.18467984488947134,ade,ml
32,0.034858418210961924,ade,ml
33,1.1282534401795914,ade,ml
34,0.282791966915533,ade,ml
35,0.03849471606109444,ade,ml
36,1.3675852945983002,ade,ml
37,0.4765094522487881,ade,ml
38,0.04480665626052326,ade,ml
39,0.886092729406399,ade,ml
40,0.35380574874525966,ade,ml
41,0.0489122966692439,ade,ml
42,0.5860925465455958,ade,ml
43,0.5243127697200077,ade,ml
44,0.036874197274791756,ade,ml
45,0.7581497530330884,ade,ml
46,0.08775431920794331,ade,ml
47,0.5756127713471774,ade,ml
48,0.10012571462576152,ade,ml
49,0.6046259797537344,ade,ml
50,0.07641795448966697,ade,ml
51,0.2937392131851776,ade,ml
52,0.02109922200461442,ade,ml
53,0.8556888763152427,ade,ml
54,0.027520640947396525,ade,ml
55,1.6064081344075027,ade,ml
56,0.03537550162909207,ade,ml
57,0.6118583504269384,ade,ml
58,0.04354251499588092,ade,ml
59,0.21314789958382854,ade,ml
60,0.930014121558318,ade,ml
61,0.5264131985533889,ade,ml
62,0.6447867751810482,ade,ml
63,2.353881811892963,ade,ml
64,1.3080550382630234,ade,ml
65,0.4459237796262588,ade,ml
66,0.5644800650982815,ade,ml
67,0.8723522291446559,ade,ml
68,0.9788367086257647,ade,ml
69,0.6370740461320398,ade,ml
70,1.3400673149144493,ade,ml
71,1.5193962854341418,ade,ml
72,1.5400129561413018,ade,ml
73,0.8380558101452786,ade,ml
74,0.5028875213341103,ade,ml
75,0.5998120634847702,ade,ml
76,0.7857699134576214,ade,ml
77,0.8856544125713913,ade,ml
78,0.9600399500815539,ade,ml
79,0.2830841226110891,ade,ml
80,0.7930677904537081,ade,ml
81,0.6340384287323594,ade,ml
82,1.5065085588216893,ade,ml
83,1.094043199660203,ade,ml
84,0.4934904477746254,ade,ml
85,0.09157981617925166,ade,ml
86,0.27280699413005616,ade,ml
87,0.1198622554235893,ade,ml
88,0.21700512573920347,ade,ml
89,0.37097014173264053,ade,ml
90,0.3627795010457242,ade,ml
91,0.7452037622394817,ade,ml
92,0.588000190812745,ade,ml
93,0.7622925398080654,ade,ml
94,0.977445037952768,ade,ml
95,1.247302977457937,ade,ml
96,1.5954989275386824,ade,ml
97,0.5760518078643156,ade,ml
98,0.9279247975241453,ade,ml
99,1.7425667883036133,ade,ml
100,0.697838161064171,ade,ml
101,0.34280831863203076,ade,ml
102,0.1845686273532552,ade,ml
103,0.544971294720271,ade,ml
104,0.45605043847027954,ade,ml
105,0.4735506061759435,ade,ml
106,0.18494586938021276,ade,ml
107,0.6514187212456967,ade,ml
108,0.22929892674750119,ade,ml
109,0.10796872970846494,ade,ml
110,0.3483961415481545,ade,ml
111,0.3687805742436036,ade,ml
112,0.2835771404291613,ade,ml
113,0.3277128901364253,ade,ml
114,0.49965248271368085,ade,ml
115,0.39437761906363433,ade,ml
116,0.7761733956964295,ade,ml
117,0.797932016205784,ade,ml
118,0.7659964748623039,ade,ml
119,1.5165446992307519,ade,ml
120,1.43060816248783,ade,ml
121,1.3826234075168655,ade,ml
122,1.502809869136022,ade,ml
123,0.7693996947165879,ade,ml
124,1.3960657560189762,ade,ml
125,1.9720431586375238,ade,ml
126,0.7882104444287962,ade,ml
127,0.8279576650499963,ade,ml
128,1.2146181591900247,ade,ml
129,1.3086900727795296,ade,ml
130,1.3603771162067915,ade,ml
131,0.7406767184897065,ade,ml
132,0.8636627915448841,ade,ml
133,0.4239732304319174,ade,ml
134,0.38902141643875837,ade,ml
135,0.6440264135599577,ade,ml
136,0.2556008107337205,ade,ml
137,0.39235791654428853,ade,ml
138,0.17672246405439515,ade,ml
139,0.3621779420171516,ade,ml
140,0.2856534653147789,ade,ml
141,0.9403301942838166,ade,ml
142,0.13742171648269755,ade,ml
143,1.2202025941622543,ade,ml
144,0.8188874046859412,ade,ml
145,0.3493575399882953,ade,ml
146,1.510092390391814,ade,ml
147,0.48521599830419787,ade,ml
148,0.7290919655215995,ade,ml
149,0.3524256900065827,ade,ml
150,0.7601690100899825,ade,ml
151,0.5522935696865914,ade,ml
152,0.45690080577841785,ade,ml
153,0.42210674957144495,ade,ml
154,0.3801674767092092,ade,ml
155,0.29268430309070076,ade,ml
156,0.5456868180009232,ade,ml
157,0.8530342588110819,ade,ml
158,0.7532546324178665,ade,ml
159,0.9304717486564394,ade,ml
160,0.5787321181032273,ade,ml
161,1.1147391539049432,ade,ml
162,1.808227712162853,ade,ml
163,1.1552611755062545,ade,ml
164,0.7692162480944907,ade,ml
165,0.9772709848395058,ade,ml
