,value,metric,type
0,0.8075702128938416,fde,ml
1,1.3006439967043726,fde,ml
2,2.7293456773640443,fde,ml
3,5.659828811466742,fde,ml
4,1.865966642825352,fde,ml
5,0.7827917313145061,fde,ml
6,0.1958667209435628,fde,ml
7,0.298845016231177,fde,ml
8,0.010026820439300808,fde,ml
9,0.623389507541434,fde,ml
10,0.10210666202675851,fde,ml
11,0.013259988265775707,fde,ml
12,0.4586948312673188,fde,ml
13,0.24634993174383563,fde,ml
14,0.03297013932553953,fde,ml
15,0.4523004280731357,fde,ml
16,0.21606903336653768,fde,ml
17,0.05317446745956381,fde,ml
18,0.4586948312673188,fde,ml
19,0.5479539070057038,fde,ml
20,0.06415130574785291,fde,ml
21,0.4284871225323386,fde,ml
22,1.120052257875378,fde,ml
23,0.06415144126855551,fde,ml
24,0.3928000651770697,fde,ml
25,0.7396173861805189,fde,ml
26,0.06900710402100813,fde,ml
27,1.1014277813263096,fde,ml
28,0.335116227511051,fde,ml
29,0.0660731067965646,fde,ml
30,2.3081908126788084,fde,ml
31,0.303547159801565,fde,ml
32,0.06816794563912466,fde,ml
33,2.652443660542402,fde,ml
34,0.6116191086011192,fde,ml
35,0.06696664528473596,fde,ml
36,2.8640126739952185,fde,ml
37,0.9701943608058676,fde,ml
38,0.0657005356663113,fde,ml
39,1.5578527721908688,fde,ml
40,0.6903463275169978,fde,ml
41,0.06982068948209444,fde,ml
42,1.1345487197073825,fde,ml
43,1.1489007954671278,fde,ml
44,0.06099116283915347,fde,ml
45,1.246937210266121,fde,ml
46,0.19039829746334214,fde,ml
47,0.6148594942675499,fde,ml
48,0.21361438570009514,fde,ml
49,0.8979359276077143,fde,ml
50,0.17806200674978281,fde,ml
51,0.29200468220053194,fde,ml
52,0.11085126062459495,fde,ml
53,1.7211355843301144,fde,ml
54,0.1074123291125404,fde,ml
55,2.637879531700135,fde,ml
56,0.10451053532384456,fde,ml
57,0.9467964389945306,fde,ml
58,0.10730722213530959,fde,ml
59,0.34147104564185193,fde,ml
60,2.202177173059355,fde,ml
61,1.1452783780176867,fde,ml
62,1.392570830540503,fde,ml
63,5.140308222865707,fde,ml
64,2.562063661911596,fde,ml
65,0.7865300115730329,fde,ml
66,0.912205531488412,fde,ml
67,1.428718290068838,fde,ml
68,1.4649042642161885,fde,ml
69,1.4078427619902,fde,ml
70,3.451488226533423,fde,ml
71,3.9562082410091226,fde,ml
72,3.8299465888932227,fde,ml
73,2.2476709255369096,fde,ml
74,1.3806771545632945,fde,ml
75,1.3602559334885471,fde,ml
76,1.5193214788243834,fde,ml
77,1.4811121327546137,fde,ml
78,1.4311144095384802,fde,ml
79,0.30962557053873574,fde,ml
80,2.0188726013143885,fde,ml
81,1.1840187418529364,fde,ml
82,2.6709792113770265,fde,ml
83,2.1317258166233337,fde,ml
84,1.0921990077852153,fde,ml
85,0.13853989298890143,fde,ml
86,0.45786314060861844,fde,ml
87,0.42817273952092355,fde,ml
88,0.7419896372002859,fde,ml
89,1.2645299208967131,fde,ml
90,1.4408694569569402,fde,ml
91,2.3210646115551836,fde,ml
92,2.1222619551813304,fde,ml
93,2.4602704839199987,fde,ml
94,2.874730508696003,fde,ml
95,3.2903420516437887,fde,ml
96,3.7567165627715275,fde,ml
97,1.1734555764416474,fde,ml
98,1.9137980099504777,fde,ml
99,3.6426666956527374,fde,ml
100,1.627804233037699,fde,ml
101,0.6167011596605154,fde,ml
102,0.36570315581823853,fde,ml
103,0.8746532938978356,fde,ml
104,0.9095701236961743,fde,ml
105,0.5613368624129886,fde,ml
106,0.512786162269779,fde,ml
107,1.4266429329673855,fde,ml
108,0.33174858855073364,fde,ml
109,0.18252369588956519,fde,ml
110,0.6070246811352266,fde,ml
111,0.8639256912541483,fde,ml
112,0.13324459173469888,fde,ml
113,0.8927147430274395,fde,ml
114,1.67367288383958,fde,ml
115,1.515905014294883,fde,ml
116,2.2170821538710306,fde,ml
117,2.1365731168205615,fde,ml
118,1.617249187936943,fde,ml
119,3.626435455012494,fde,ml
120,3.7101137119585688,fde,ml
121,3.268949388610288,fde,ml
122,3.7968846800761904,fde,ml
123,2.0511280223382,fde,ml
124,3.0314964791005043,fde,ml
125,4.516246612757134,fde,ml
126,2.4196145322893745,fde,ml
127,2.477878990320807,fde,ml
128,3.2363627000094795,fde,ml
129,3.2585163356607487,fde,ml
130,3.138110592571978,fde,ml
131,1.8828382698801116,fde,ml
132,2.1019063855786952,fde,ml
133,1.2088553798320052,fde,ml
134,1.0504955112754084,fde,ml
135,1.5575018201457984,fde,ml
136,0.5204343416721456,fde,ml
137,0.6834972813558048,fde,ml
138,0.254861977190691,fde,ml
139,0.9391805647503239,fde,ml
140,0.6688069629361101,fde,ml
141,2.5441092485650616,fde,ml
