,value,metric,type
0,1.1861108921906194,kde,full
1,0.675472520495977,kde,full
2,2.752134984522863,kde,full
3,6.621289111756625,kde,full
4,1.5461064552768988,kde,full
5,-0.523034119701498,kde,full
6,1.457349061216855,kde,full
7,-0.9355319473104594,kde,full
8,-4.8187715086709355,kde,full
9,-2.4304548120432323,kde,full
10,-2.1631393441396423,kde,full
11,-4.877834483896223,kde,full
12,-1.491941642892484,kde,full
13,-2.313320207459854,kde,full
14,-4.886930451687031,kde,full
15,-0.7989292006949678,kde,full
16,-1.8647178768874395,kde,full
17,-4.873708050527263,kde,full
18,0.7436186278135959,kde,full
19,-1.2373906673288873,kde,full
20,-4.778899826051543,kde,full
21,1.4780075079724175,kde,full
22,0.04849817096543585,kde,full
23,-4.902593059045385,kde,full
24,4.748079272533434,kde,full
25,0.04983623469160142,kde,full
26,-4.816594130940195,kde,full
27,2.0790640835659593,kde,full
28,-1.322852855557476,kde,full
29,-4.568195829872829,kde,full
30,0.9602135672889067,kde,full
31,-0.7398570420163393,kde,full
32,-4.606556601149605,kde,full
33,4.89436143831009,kde,full
34,-0.4395584176025322,kde,full
35,-4.478478251527976,kde,full
36,4.773229049942125,kde,full
37,-0.30218979434401616,kde,full
38,-4.166952117674639,kde,full
39,2.4554405757123354,kde,full
40,1.8815536081145037,kde,full
41,-3.799884172013547,kde,full
42,3.0807514354540673,kde,full
43,1.7402799322081766,kde,full
44,-4.106621611495576,kde,full
45,2.6608885902637858,kde,full
46,-3.8429398971146633,kde,full
47,2.145856555504793,kde,full
48,-3.504713189363764,kde,full
49,-0.16126239111398175,kde,full
50,-3.696933074615542,kde,full
51,0.9095055656269192,kde,full
52,-4.361265314366096,kde,full
53,3.4098764477109325,kde,full
54,-4.195991071636254,kde,full
55,4.149779533962218,kde,full
56,-4.44346757682395,kde,full
57,0.1828670774478337,kde,full
58,-4.3560658778272,kde,full
59,1.1556814944461358,kde,full
60,1.316003211651009,kde,full
61,0.05979828470378157,kde,full
62,1.8523832931828155,kde,full
63,5.15921156631692,kde,full
64,2.807628998303736,kde,full
65,2.1052499745612923,kde,full
66,2.2595523249838947,kde,full
67,5.048613792762259,kde,full
68,8.020952621985948,kde,full
69,4.614748700099226,kde,full
70,3.8544031774593694,kde,full
71,2.089925227457027,kde,full
72,3.313114506127241,kde,full
73,1.1018501466076849,kde,full
74,-0.06408249035498736,kde,full
75,0.33168637527895334,kde,full
76,1.6665279905011634,kde,full
77,3.5724510720175005,kde,full
78,8.856001573050596,kde,full
79,2.9586447146575323,kde,full
80,1.893685204270061,kde,full
81,4.392792782616886,kde,full
82,3.406689200623802,kde,full
83,1.0513086124518107,kde,full
84,1.3539798693867626,kde,full
85,-1.7867075614622352,kde,full
86,-1.3705142134045933,kde,full
87,-1.7275887090578816,kde,full
88,0.4741113816039959,kde,full
89,-0.4792439329328087,kde,full
90,-0.34975059633723593,kde,full
91,1.598273165550909,kde,full
92,-0.21633746372120394,kde,full
