,value,metric,type
0,0.006716060297359559,ade,best_of
1,0.017122561721395316,ade,best_of
2,0.016533507050488703,ade,best_of
3,0.006859331388344641,ade,best_of
4,0.017575431449830103,ade,best_of
5,0.01694288350151125,ade,best_of
6,0.0072487952602708966,ade,best_of
7,0.008201326786342885,ade,best_of
8,0.027700338700728116,ade,best_of
9,0.007745748766873333,ade,best_of
10,0.0071991014562717654,ade,best_of
11,0.040266360974844186,ade,best_of
12,0.00845662928215631,ade,best_of
13,0.009039584445081846,ade,best_of
14,0.04167518820886538,ade,best_of
15,0.009216021703684801,ade,best_of
16,0.00714883032509656,ade,best_of
17,0.04285788949756511,ade,best_of
18,0.00918315794288911,ade,best_of
19,0.01165942903758884,ade,best_of
20,0.04382932189781325,ade,best_of
21,0.09631833434863941,ade,best_of
22,0.10424769106484244,ade,best_of
23,0.10053645978166126,ade,best_of
24,0.13886331344312855,ade,best_of
25,0.11715680280623397,ade,best_of
26,0.09330089317982469,ade,best_of
27,0.10340044564733307,ade,best_of
28,0.10242969902022818,ade,best_of
29,0.06413755640654537,ade,best_of
30,0.08708853944527513,ade,best_of
31,0.104665069037165,ade,best_of
32,0.11704170539248816,ade,best_of
33,0.12102372520300193,ade,best_of
34,0.23461898081420474,ade,best_of
35,0.09474319506952879,ade,best_of
36,0.1412834131097331,ade,best_of
37,0.10243104528184477,ade,best_of
38,0.17087819683376174,ade,best_of
39,0.11269394068870088,ade,best_of
40,0.11663340178036719,ade,best_of
41,0.21721685249301836,ade,best_of
42,0.06862558664300476,ade,best_of
43,0.15216732176025363,ade,best_of
44,0.14352095260580475,ade,best_of
45,0.09511249441749133,ade,best_of
46,0.11615493429356238,ade,best_of
47,0.2758884349525991,ade,best_of
48,0.2367777293551764,ade,best_of
49,0.08084921047140337,ade,best_of
50,0.034099522811486836,ade,best_of
51,0.03269744958453364,ade,best_of
52,0.03380070313302714,ade,best_of
53,0.028432634020469073,ade,best_of
54,0.029937824244151926,ade,best_of
55,0.031004486365344048,ade,best_of
56,0.03383424077803741,ade,best_of
57,0.031132719185268623,ade,best_of
58,0.039861036918167045,ade,best_of
59,0.044280358047698705,ade,best_of
60,0.05006261867434647,ade,best_of
61,0.14385696365535314,ade,best_of
62,0.2166562252839608,ade,best_of
63,0.05081414309677712,ade,best_of
64,0.09361832107561575,ade,best_of
65,0.008372184189319341,ade,best_of
66,0.008369426478976106,ade,best_of
67,0.0710941602565515,ade,best_of
68,0.008372184189319341,ade,best_of
69,0.008369426478976106,ade,best_of
70,0.07098284289758328,ade,best_of
71,0.008372184189319341,ade,best_of
72,0.008369426478976106,ade,best_of
73,0.06832777627156382,ade,best_of
74,0.008372184189319341,ade,best_of
75,0.010603275480794594,ade,best_of
76,0.09521877335178924,ade,best_of
77,0.010848014870592995,ade,best_of
78,0.010795516610895561,ade,best_of
79,0.11056531258591158,ade,best_of
80,0.11527889233583392,ade,best_of
81,0.10094359515912754,ade,best_of
82,0.07853824450801682,ade,best_of
83,0.042246520001673525,ade,best_of
84,0.029599790706047385,ade,best_of
85,0.025357861437905596,ade,best_of
86,0.021643498317032026,ade,best_of
87,0.02150466164501329,ade,best_of
88,0.11030809502250634,ade,best_of
89,0.02613274927817835,ade,best_of
90,0.062206139974889156,ade,best_of
91,0.029862771321353773,ade,best_of
92,0.04531382381135216,ade,best_of
93,0.05655352902540495,ade,best_of
94,0.08079237330947822,ade,best_of
95,0.10991281654744332,ade,best_of
96,0.09817264527412776,ade,best_of
97,0.1402517596947949,ade,best_of
98,0.08269677917777328,ade,best_of
99,0.08190894650138443,ade,best_of
100,0.11812423597812477,ade,best_of
101,0.07646623373926416,ade,best_of
102,0.05484394079553956,ade,best_of
103,0.03003890728515356,ade,best_of
104,0.01682637825829712,ade,best_of
105,0.023280256030507526,ade,best_of
106,0.013914098656803904,ade,best_of
107,0.00979475396332641,ade,best_of
108,0.010995653339657498,ade,best_of
109,0.009771822642968225,ade,best_of
110,0.01067033619763417,ade,best_of
111,0.009534420603824404,ade,best_of
112,0.005940107000498706,ade,best_of
113,0.012673327834177794,ade,best_of
114,0.005839806025510797,ade,best_of
115,0.008440291598369334,ade,best_of
116,0.008440291598369334,ade,best_of
117,0.008440291598369334,ade,best_of
118,0.008440291598369334,ade,best_of
119,0.008440291598369334,ade,best_of
120,0.008440291598369334,ade,best_of
121,0.008440291598369334,ade,best_of
122,0.008440291598369334,ade,best_of
123,0.008440291598369334,ade,best_of
