,value,metric,type
0,-1.7913333130660678,kde,best_of
1,-1.7738889454165272,kde,best_of
2,-1.8369392311551869,kde,best_of
3,-1.7944239120705157,kde,best_of
4,-1.7695850648341023,kde,best_of
5,-1.839599389441919,kde,best_of
6,-1.7968375448137004,kde,best_of
7,-1.6375183771482473,kde,best_of
8,-1.8388846127495586,kde,best_of
9,-1.8017575827841545,kde,best_of
10,-1.68990441448302,kde,best_of
11,-1.837713862785631,kde,best_of
12,-1.8055594955527288,kde,best_of
13,-1.7915887599433546,kde,best_of
14,-1.8358849621238653,kde,best_of
15,-1.808109585220701,kde,best_of
16,-1.7625176310409412,kde,best_of
17,-1.826197759307294,kde,best_of
18,-1.8095714704216899,kde,best_of
19,-1.7951349804232821,kde,best_of
20,-1.79868910517554,kde,best_of
21,-0.4179100960783345,kde,best_of
22,-0.3556903023841338,kde,best_of
23,-0.25975558718800684,kde,best_of
24,-0.1688646140371939,kde,best_of
25,-0.4451610096091941,kde,best_of
26,-0.8083951645102458,kde,best_of
27,0.450239783354238,kde,best_of
28,-0.9915176014234326,kde,best_of
29,-0.7705525792167618,kde,best_of
30,-1.047817499468216,kde,best_of
31,-0.8831586645897576,kde,best_of
32,-1.0762776347018745,kde,best_of
33,-0.3915779112349851,kde,best_of
34,-0.34616424967390624,kde,best_of
35,-0.6238450314041081,kde,best_of
36,-0.7188350696373453,kde,best_of
37,-0.48849576489169255,kde,best_of
38,-0.22842965207142665,kde,best_of
39,-0.7342225712981804,kde,best_of
40,-0.5473636409428181,kde,best_of
41,-0.36732585450604377,kde,best_of
42,-0.8694957989059626,kde,best_of
43,-0.04510096290584123,kde,best_of
44,-0.5673192700918905,kde,best_of
45,-0.9402634698800738,kde,best_of
46,-0.40203133250486733,kde,best_of
47,0.4182122796145529,kde,best_of
48,0.7455115204068711,kde,best_of
49,-1.3263513167157377,kde,best_of
50,-1.036358553461882,kde,best_of
51,-1.5098904976199696,kde,best_of
52,-1.7233411651317512,kde,best_of
53,-1.7451967233563463,kde,best_of
54,-1.7581668308816099,kde,best_of
55,-1.782274022808306,kde,best_of
56,-1.7770207319653264,kde,best_of
57,-1.755522077034286,kde,best_of
58,-1.747870789800185,kde,best_of
59,-1.6009379210730375,kde,best_of
60,-1.3926808531243828,kde,best_of
61,-0.011634526358626884,kde,best_of
62,0.8101119726239217,kde,best_of
63,0.5438312169882817,kde,best_of
64,0.7743756540142401,kde,best_of
65,-1.8443000162486471,kde,best_of
66,-1.8394060672040158,kde,best_of
67,-0.765537129277048,kde,best_of
68,-1.8443000162486471,kde,best_of
69,-1.8394060672040158,kde,best_of
70,-1.3764654222233812,kde,best_of
71,-1.8443000162486471,kde,best_of
72,-1.8394060672040158,kde,best_of
73,-1.3935145634375723,kde,best_of
74,-1.8443000162486471,kde,best_of
75,-1.8521922801775346,kde,best_of
76,-1.3096656175183055,kde,best_of
77,-1.862651344198874,kde,best_of
78,-1.8546875100941234,kde,best_of
79,-1.4053806793378818,kde,best_of
80,-0.9286381938154598,kde,best_of
81,-1.1190133097914023,kde,best_of
82,-0.6888273584682233,kde,best_of
83,-0.8956585678016648,kde,best_of
84,-1.4420830864590446,kde,best_of
85,-1.5625490229161805,kde,best_of
86,-1.556532159993707,kde,best_of
87,-1.485266069467488,kde,best_of
88,-0.013481239525787586,kde,best_of
89,-0.0992050382359772,kde,best_of
90,-0.17016080719548274,kde,best_of
91,-0.9747268541715806,kde,best_of
92,-1.4265391040592725,kde,best_of
93,-1.6425396820518707,kde,best_of
94,-1.628590839066743,kde,best_of
95,-1.5630412603554675,kde,best_of
96,-1.4838915299780924,kde,best_of
97,-1.2128281784203634,kde,best_of
98,-1.418014734894939,kde,best_of
99,-1.2175679609744363,kde,best_of
100,-1.1139785815913872,kde,best_of
101,-0.9358594226600787,kde,best_of
102,-0.4903531341174878,kde,best_of
103,-0.8471593932060661,kde,best_of
104,-1.2178899597230057,kde,best_of
105,-1.268720501974563,kde,best_of
106,-1.605888026138049,kde,best_of
107,-1.7383176729937067,kde,best_of
108,-1.7494073881261956,kde,best_of
109,-1.760083795840074,kde,best_of
110,-1.7252011253073247,kde,best_of
111,-1.7489698063654158,kde,best_of
112,-1.747427555282552,kde,best_of
113,-1.7342530039935244,kde,best_of
114,-1.7611758846653816,kde,best_of
115,-1.7592082823226627,kde,best_of
116,-1.7592082823226627,kde,best_of
117,-1.7592082823226627,kde,best_of
118,-1.7592082823226627,kde,best_of
119,-1.7592082823226627,kde,best_of
120,-1.7592082823226627,kde,best_of
121,-1.7592082823226627,kde,best_of
122,-1.7592082823226627,kde,best_of
123,-1.7592082823226627,kde,best_of
124,-1.7592082823226627,kde,best_of
125,-1.7592082823226627,kde,best_of
126,-1.7592082823226627,kde,best_of
127,-1.7592082823226627,kde,best_of
128,-1.7592082823226627,kde,best_of
129,-1.7592082823226627,kde,best_of
130,-1.7592082823226627,kde,best_of
131,-1.7592082823226627,kde,best_of
132,-1.7592082823226627,kde,best_of
133,-1.7592082823226627,kde,best_of
134,-1.7592082823226627,kde,best_of
135,-1.7592082823226627,kde,best_of
136,-1.7592082823226627,kde,best_of
137,-1.7592082823226627,kde,best_of
138,-1.7592082823226627,kde,best_of
139,-1.7592082823226627,kde,best_of
140,-0.04682134405530275,kde,best_of
141,-0.025796656604706647,kde,best_of
142,-0.11173768335844514,kde,best_of
143,-0.33349387453389845,kde,best_of
144,1.1618140240233097,kde,best_of
145,0.016948332904018204,kde,best_of
146,-0.4595353139095898,kde,best_of
147,0.6376927966121037,kde,best_of
148,-0.26982528003919315,kde,best_of
149,-0.7560085718812464,kde,best_of
150,-1.7389634859800063,kde,best_of
151,-1.8482399951697563,kde,best_of
152,-1.0078629987476246,kde,best_of
153,0.7810311263362835,kde,best_of
154,-1.778542586536781,kde,best_of
155,-1.8483049374625806,kde,best_of
156,-0.8582354364000894,kde,best_of
157,-0.2325575737679069,kde,best_of
158,-1.7846911227968527,kde,best_of
159,-1.8284450574718711,kde,best_of
160,-0.06518263124557552,kde,best_of
161,-0.2083726300346609,kde,best_of
162,-1.7087362256979401,kde,best_of
163,-1.8469350788463177,kde,best_of
164,-0.5905688257076745,kde,best_of
165,-0.25166701143946724,kde,best_of
166,-1.7535853955247813,kde,best_of
167,-1.8370507584097284,kde,best_of
168,-0.5772968711483418,kde,best_of
169,-0.24784712677377843,kde,best_of
170,-1.7542250232980827,kde,best_of
171,-1.8474794308819222,kde,best_of
172,0.8365306189002127,kde,best_of
173,-0.9146351148488232,kde,best_of
174,-1.803952451979086,kde,best_of
175,-1.8476690363516168,kde,best_of
176,-0.6865527705653192,kde,best_of
177,-0.11900360805345547,kde,best_of
178,-1.829951839939837,kde,best_of
179,-1.8475515748533078,kde,best_of
180,-1.750758422154639,kde,best_of
181,-1.8146761803757632,kde,best_of
182,-0.6280496218885294,kde,best_of
183,2.2532512816922474,kde,best_of
184,-1.7899487803226621,kde,best_of
185,-1.8178745725561325,kde,best_of
186,-0.684367921961147,kde,best_of
187,0.15574100569410992,kde,best_of
188,-1.7984888069850307,kde,best_of
189,-1.8204474021308394,kde,best_of
190,-0.7013480789828831,kde,best_of
191,-0.6821428969214164,kde,best_of
192,-1.82185302656578,kde,best_of
193,-1.8245031334206407,kde,best_of
194,0.2222858922385446,kde,best_of
195,0.055768828582048846,kde,best_of
196,-1.8208274407722491,kde,best_of
197,-1.8591964013092108,kde,best_of
198,0.9020744769605942,kde,best_of
199,0.5375991669463216,kde,best_of
200,-1.7925708872286785,kde,best_of
201,-1.8292355675986167,kde,best_of
202,0.27944664204635516,kde,best_of
203,-0.04637929821976086,kde,best_of
204,-1.7554159012795374,kde,best_of
205,-1.829845377497248,kde,best_of
206,0.3944665472232973,kde,best_of
207,-0.6324542763758622,kde,best_of
208,-1.6564742476010506,kde,best_of
209,-1.8326711070762476,kde,best_of
210,-0.46508607292790405,kde,best_of
211,0.5318002206858516,kde,best_of
212,-1.6923082174783595,kde,best_of
213,-1.8398081240361903,kde,best_of
214,0.07600127819156852,kde,best_of
215,0.11326355818819295,kde,best_of
216,-1.686115358716063,kde,best_of
217,-1.8436529700080009,kde,best_of
218,-0.6075049333412283,kde,best_of
219,0.05411313271058352,kde,best_of
220,-1.2387142700738047,kde,best_of
221,-1.845958272066993,kde,best_of
222,0.07614205408712149,kde,best_of
223,-0.7425551488514824,kde,best_of
224,-1.3738999318156846,kde,best_of
225,-1.8356128298256844,kde,best_of
226,-0.48669724647920976,kde,best_of
227,-0.9725912480550953,kde,best_of
228,-0.40524768818059553,kde,best_of
229,-1.8343721360047185,kde,best_of
230,0.04088559014039447,kde,best_of
231,-0.9271794542882107,kde,best_of
232,-0.2482688675433725,kde,best_of
233,-1.8341012572403346,kde,best_of
