,value,metric,type
0,0.11740779676764085,ade,best_of
1,0.19879465690115636,ade,best_of
2,0.055071756381789426,ade,best_of
3,0.09048070073789873,ade,best_of
4,0.15743234385804764,ade,best_of
5,0.19716391208525227,ade,best_of
6,0.08343721474548695,ade,best_of
7,0.10879633483780339,ade,best_of
8,0.1485807213363496,ade,best_of
9,0.30987987358756247,ade,best_of
10,0.15188399974175265,ade,best_of
11,0.2986244220133916,ade,best_of
12,0.2994700186979052,ade,best_of
13,0.1665279551348663,ade,best_of
14,0.0880826256961581,ade,best_of
15,0.1537772730131408,ade,best_of
16,0.16275251285283454,ade,best_of
17,0.12991803637532914,ade,best_of
18,0.10467440729433196,ade,best_of
19,0.09617850837712118,ade,best_of
20,0.32159149537420706,ade,best_of
21,0.07478388116895858,ade,best_of
22,0.06002594256430277,ade,best_of
23,0.10366837192842737,ade,best_of
24,0.13736218322002366,ade,best_of
25,0.17204255641907953,ade,best_of
26,0.056565332183300454,ade,best_of
27,0.10507438793878361,ade,best_of
28,0.06609253275529048,ade,best_of
29,0.18554476439542125,ade,best_of
30,0.1349067265319981,ade,best_of
31,0.05662631177077918,ade,best_of
32,0.1633421984077661,ade,best_of
33,0.30775069199311456,ade,best_of
34,0.14303836129552863,ade,best_of
35,0.3638159861623156,ade,best_of
36,0.12058207904904118,ade,best_of
37,0.12606175909556672,ade,best_of
38,0.06678826760283052,ade,best_of
39,0.3853369642935736,ade,best_of
40,0.05597633178326367,ade,best_of
41,0.10154836379218111,ade,best_of
42,0.12788317458804893,ade,best_of
43,0.10608606022805343,ade,best_of
44,0.1243426482180703,ade,best_of
45,0.12993175523704834,ade,best_of
46,0.40686552032733925,ade,best_of
47,0.43384674234268167,ade,best_of
48,0.1556540872840014,ade,best_of
49,0.4289378410557683,ade,best_of
50,0.15946487630571995,ade,best_of
51,0.44609794575373757,ade,best_of
52,0.23118761879790337,ade,best_of
53,0.12342839825320963,ade,best_of
54,0.28346735826215286,ade,best_of
55,0.17619541874957642,ade,best_of
56,0.2616002419092666,ade,best_of
57,0.08056190362701339,ade,best_of
58,0.3059784487642488,ade,best_of
59,0.07014647157721204,ade,best_of
60,0.11578957739076297,ade,best_of
61,0.17843082387455536,ade,best_of
62,0.16137710208857314,ade,best_of
63,0.06806274832183841,ade,best_of
64,0.13350166303528768,ade,best_of
65,0.19852247679386256,ade,best_of
66,0.34799958928396846,ade,best_of
67,0.19149385323996895,ade,best_of
68,0.21470806736411138,ade,best_of
69,0.3874958845691534,ade,best_of
70,0.16183936257593293,ade,best_of
71,0.12250517677508067,ade,best_of
72,0.1759112807631118,ade,best_of
73,0.09782538174500051,ade,best_of
74,0.08075527618680396,ade,best_of
75,0.06928316985141196,ade,best_of
76,0.02258444592512222,ade,best_of
77,0.16091642954859,ade,best_of
78,0.16204376606087859,ade,best_of
79,0.2872053070244904,ade,best_of
80,0.04534569519749623,ade,best_of
81,0.10926352698112822,ade,best_of
82,0.11389355853234127,ade,best_of
83,0.12210578483632502,ade,best_of
84,0.136647887161066,ade,best_of
85,0.0652976469162476,ade,best_of
86,0.13513604673693916,ade,best_of
87,0.40591870300304245,ade,best_of
88,0.05663317777823179,ade,best_of
89,0.11977441332734107,ade,best_of
90,0.10203326092459224,ade,best_of
91,0.10167798804570233,ade,best_of
92,0.06453884699339633,ade,best_of
93,0.04511158209519802,ade,best_of
94,0.08664694306198935,ade,best_of
95,0.07484737129971508,ade,best_of
96,0.16319726496648135,ade,best_of
97,0.14557836903706853,ade,best_of
98,0.31190952042571857,ade,best_of
99,0.6176410282468726,ade,best_of
100,0.3368097662410454,ade,best_of
101,0.5573384368671003,ade,best_of
102,0.2546018717699688,ade,best_of
103,0.16641896203676024,ade,best_of
104,0.10699923018324543,ade,best_of
105,0.1807944688975549,ade,best_of
106,0.12736924590048462,ade,best_of
107,0.140343924247435,ade,best_of
108,0.18033062311707546,ade,best_of
109,0.05507987867689037,ade,best_of
110,0.2894068416761723,ade,best_of
111,0.08283385908772596,ade,best_of
112,0.17306294181009987,ade,best_of
113,0.1929972013846808,ade,best_of
114,0.1967158904844275,ade,best_of
115,0.05159516877152426,ade,best_of
116,0.17139795031711424,ade,best_of
117,0.2071163070667206,ade,best_of
118,0.3018219445616228,ade,best_of
119,0.15945381218189672,ade,best_of
120,0.2725727782180809,ade,best_of
121,0.27894629221947603,ade,best_of
122,0.051529045683466855,ade,best_of
123,0.0932149114295137,ade,best_of
124,0.2420725119989148,ade,best_of
125,0.10738983198142789,ade,best_of
126,0.1002857844026468,ade,best_of
127,0.15044567547667823,ade,best_of
128,0.06683854402493247,ade,best_of
129,0.07781909431935756,ade,best_of
130,0.2054282735628814,ade,best_of
131,0.24742862096661766,ade,best_of
132,0.06586528565793627,ade,best_of
133,0.15804254615938734,ade,best_of
134,0.12178477170724551,ade,best_of
135,0.1389127050692174,ade,best_of
136,0.12179224140710448,ade,best_of
137,0.11810695100228807,ade,best_of
138,0.19449564233206626,ade,best_of
139,0.5145151019642518,ade,best_of
140,0.12227238322489216,ade,best_of
141,0.13905988527474275,ade,best_of
142,0.15145267389548644,ade,best_of
143,0.041498350865257154,ade,best_of
144,0.09648472460062552,ade,best_of
145,0.06728532251095959,ade,best_of
146,0.12123325694045572,ade,best_of
147,0.26756584327624333,ade,best_of
148,0.1461908270679108,ade,best_of
149,0.266313186123244,ade,best_of
150,0.371231100879225,ade,best_of
151,0.19006208258829346,ade,best_of
152,0.36411648775656597,ade,best_of
153,0.179367260433267,ade,best_of
154,0.15266267724052615,ade,best_of
155,0.20094781277210924,ade,best_of
156,0.23776758014502694,ade,best_of
157,0.17339762116551768,ade,best_of
158,0.1569372758068707,ade,best_of
159,0.0945695101503986,ade,best_of
160,0.250188635791385,ade,best_of
161,0.07033864973776882,ade,best_of
162,0.35961005299688514,ade,best_of
163,0.09204462198589235,ade,best_of
164,0.19922709954093878,ade,best_of
165,0.23632759067124223,ade,best_of
166,0.02159016603545849,ade,best_of
167,0.03238051896190459,ade,best_of
168,0.1397938147251777,ade,best_of
169,0.40011133318672926,ade,best_of
170,0.07929579624037,ade,best_of
171,0.3701710393722797,ade,best_of
172,0.22123697159244846,ade,best_of
173,0.07891176501445256,ade,best_of
174,0.13202215888571175,ade,best_of
175,0.29976676498840077,ade,best_of
176,0.09224813375504964,ade,best_of
177,0.09550107450068196,ade,best_of
178,0.11403076804497987,ade,best_of
179,0.11124271114065458,ade,best_of
180,0.09889222408169758,ade,best_of
181,0.1969673955896608,ade,best_of
182,0.19674224374871932,ade,best_of
183,0.10714879223720274,ade,best_of
184,0.14151670966859917,ade,best_of
185,0.08646992927526537,ade,best_of
186,0.08238240962668046,ade,best_of
187,0.10951859138773724,ade,best_of
188,0.15354626923293363,ade,best_of
189,0.20312053308445244,ade,best_of
190,0.1069511823296877,ade,best_of
191,0.09510570489480295,ade,best_of
192,0.22181599088877713,ade,best_of
193,0.030617833538830047,ade,best_of
194,0.09897147859468809,ade,best_of
195,0.09866879196297795,ade,best_of
196,0.09716918998609463,ade,best_of
197,0.3692387702709395,ade,best_of
198,0.13793014726148567,ade,best_of
199,0.1884418396221947,ade,best_of
200,0.3764629470993924,ade,best_of
201,0.17633157204012373,ade,best_of
