,value,metric,type
0,-0.46248761376240943,kde,best_of
1,-0.7908760515991371,kde,best_of
2,-0.09170981811208906,kde,best_of
3,-0.958139256134338,kde,best_of
4,0.4774283596446272,kde,best_of
5,-0.9183891746905003,kde,best_of
6,-0.021030969273190342,kde,best_of
7,-0.8559659693718946,kde,best_of
8,0.19624195193550287,kde,best_of
9,-0.8136071201930284,kde,best_of
10,-0.31128513577779726,kde,best_of
11,-0.7125249306300119,kde,best_of
12,-0.5731041453964498,kde,best_of
13,-0.8820156333224998,kde,best_of
14,-0.7408044137103308,kde,best_of
15,-0.9124062045829006,kde,best_of
16,0.5163790051102075,kde,best_of
17,-0.8280547980720205,kde,best_of
18,-0.8821238920213894,kde,best_of
19,0.5084474954130332,kde,best_of
20,-0.8719773691216279,kde,best_of
21,-0.867221488589547,kde,best_of
22,-0.8544495831274237,kde,best_of
23,-0.9805722859899271,kde,best_of
24,-0.7963670330036424,kde,best_of
25,-0.9662133956712867,kde,best_of
26,-0.6785166605857421,kde,best_of
27,-0.95780400460687,kde,best_of
28,-0.6327559301744798,kde,best_of
29,-0.8516124356542695,kde,best_of
30,-0.7113300429425111,kde,best_of
31,-0.8517220362745993,kde,best_of
32,-0.732222190109285,kde,best_of
33,-0.8902402840842735,kde,best_of
34,0.08902961785007557,kde,best_of
35,-0.3523876867771796,kde,best_of
36,-0.6199005234358833,kde,best_of
37,-0.5364515444495497,kde,best_of
38,-0.5649856453622465,kde,best_of
39,-0.6317997462810218,kde,best_of
40,-0.42127446343797037,kde,best_of
41,-0.4531285684116465,kde,best_of
42,-0.3922245454137896,kde,best_of
43,-0.7088828397317812,kde,best_of
44,-0.8478400492232082,kde,best_of
45,-0.8481251753729433,kde,best_of
46,-0.8921916783055318,kde,best_of
47,-0.8579535317604475,kde,best_of
48,-0.625525555425775,kde,best_of
49,-0.9497679022289459,kde,best_of
50,-0.3180410022976335,kde,best_of
51,-0.7742850754365265,kde,best_of
52,-1.0480155105917999,kde,best_of
53,0.43000628406478514,kde,best_of
54,-0.9608883682266185,kde,best_of
55,-1.0497709061806957,kde,best_of
56,-0.8284097116957402,kde,best_of
57,1.614512745469154,kde,best_of
58,-1.0703376489746166,kde,best_of
59,-1.049434383665394,kde,best_of
60,-0.9373708710421539,kde,best_of
61,3.028502352640406,kde,best_of
62,-0.9620914284167558,kde,best_of
63,-1.011988038840302,kde,best_of
64,-0.8858655825404822,kde,best_of
65,1.6100060198180564,kde,best_of
66,-0.9017840934448845,kde,best_of
67,-0.9510108716140802,kde,best_of
68,-0.9796385717415762,kde,best_of
69,-1.1398902343200705,kde,best_of
70,1.7916958251448865,kde,best_of
71,-0.8886915373838516,kde,best_of
72,-0.8941361705425747,kde,best_of
73,-0.9309274198316149,kde,best_of
74,-1.086258378841116,kde,best_of
75,2.110488674723297,kde,best_of
76,-0.8020051826084555,kde,best_of
77,-0.907953400483618,kde,best_of
78,-0.7996928487019226,kde,best_of
79,-0.996145840141342,kde,best_of
80,-0.46702279495879995,kde,best_of
81,-0.8789781733283658,kde,best_of
82,3.077588478194582,kde,best_of
83,-0.8283439706170593,kde,best_of
84,-0.8708060671887673,kde,best_of
85,-0.5567626633234621,kde,best_of
86,-0.7838098591737002,kde,best_of
87,-0.8097737722816194,kde,best_of
88,-0.8540462070266504,kde,best_of
89,4.986363902306884,kde,best_of
90,-0.8306032546488218,kde,best_of
91,-0.8115960371922188,kde,best_of
92,-0.7617429374891229,kde,best_of
93,-0.4407587646712948,kde,best_of
94,-0.8401162782454754,kde,best_of
95,-0.6292571430340163,kde,best_of
96,2.4669562452120988,kde,best_of
97,-0.7167898932481228,kde,best_of
98,-0.7929548846840058,kde,best_of
99,-0.5545095076340019,kde,best_of
100,0.014688769525677797,kde,best_of
101,-0.772123898049613,kde,best_of
102,-0.35897953292257245,kde,best_of
103,1.5416897431899366,kde,best_of
104,-0.8607677395762305,kde,best_of
105,-0.6937221676451544,kde,best_of
106,-0.5267007351307125,kde,best_of
107,-0.05469483464829358,kde,best_of
108,-0.7178126959967194,kde,best_of
109,-0.0536510283043945,kde,best_of
110,-0.7288143047181114,kde,best_of
111,-0.7080096487338238,kde,best_of
112,-0.590414576533809,kde,best_of
113,-0.41476604289052643,kde,best_of
114,-0.762261411441166,kde,best_of
115,-0.23243464393866836,kde,best_of
116,-0.767505064923779,kde,best_of
117,-0.5869830338545655,kde,best_of
118,-0.5487643894960612,kde,best_of
119,-0.24044318864184777,kde,best_of
120,-0.5840637712382691,kde,best_of
121,-0.19022296033469377,kde,best_of
122,-0.9193365761674644,kde,best_of
123,-0.609472550089101,kde,best_of
124,-0.5131426032018782,kde,best_of
125,-0.35290660554252795,kde,best_of
126,-0.40256432271784914,kde,best_of
127,-0.154556619215093,kde,best_of
128,-0.8655205697344535,kde,best_of
129,-0.8427530213331856,kde,best_of
130,0.058326943016151156,kde,best_of
131,-0.6531707896202392,kde,best_of
132,-0.6674009795893425,kde,best_of
133,-0.22266105340475179,kde,best_of
134,-0.6505311664657564,kde,best_of
135,0.07178900713306688,kde,best_of
136,-0.6330488448822835,kde,best_of
137,-0.3801174526679094,kde,best_of
138,-0.3804834726847579,kde,best_of
139,-0.7629181860942762,kde,best_of
140,-0.28940659935221813,kde,best_of
141,-0.7208435173607022,kde,best_of
142,-0.13372364361079123,kde,best_of
143,-0.2931701258206375,kde,best_of
144,-0.6523174197886115,kde,best_of
145,-0.2856031397311102,kde,best_of
146,-0.8900950560627319,kde,best_of
147,-0.4127128128681864,kde,best_of
148,-0.561002257483387,kde,best_of
149,-0.6317994368568168,kde,best_of
150,-0.5765769869785122,kde,best_of
151,-0.4511559777656845,kde,best_of
152,-0.8262624743993775,kde,best_of
153,-0.6035168278316564,kde,best_of
